,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
7,0.1879691561489635,IPSL-CM5A-MR,HadGEM2-ES,rcp60,3.5964318,3.7844009561489633,44.97700000000009,4.03,2.0
8,0.02740588118044441,IPSL-CM5A-MR,MPI-ESM-LR,rcp60,3.5964318,3.6238376811804445,6.377000000000066,4.03,2.0
9,-0.026996794892734065,IPSL-CM5A-MR,inmcm4,rcp60,3.5964318,3.569435005107266,-6.222999999999956,4.03,2.0
10,-0.40153499308519675,IPSL-CM5A-MR,MRI-ESM1,rcp60,3.5964318,3.1948968069148034,-86.82299999999998,4.03,2.0
11,0.04786445004463042,IPSL-CM5A-MR,bcc-ccsm1-1,rcp60,3.5964318,3.6442962500446305,11.177000000000021,4.03,2.0
0,-0.0036399232735417827,MIROC5,NorESM1-ME,rcp60,2.531502,2.5278620767264584,-1.1229999999999336,2.7,1.5
1,0.38334998432658585,MIROC5,CESM1-BGC,rcp60,2.531502,2.914851984326586,129.4770000000001,2.7,1.5
2,0.137028130505867,MIROC5,GFDL-ESM2M,rcp60,2.531502,2.668530130505867,43.67700000000002,2.7,1.5
3,0.2882079245759505,MIROC5,MIROC-ESM,rcp60,2.531502,2.8197099245759505,95.17700000000002,2.7,1.5
4,-0.06616808833751574,MIROC5,IPSL-CM5A-LR,rcp60,2.531502,2.4653339116624844,-20.122999999999934,2.7,1.5
5,0.20585047939340925,MIROC5,CanESM2,rcp60,2.531502,2.7373524793934094,66.67700000000002,2.7,1.5
6,0.12910902440574085,MIROC5,GFDL-ESM2G,rcp60,2.531502,2.660611024405741,41.077,2.7,1.5
7,0.14097686711172264,MIROC5,HadGEM2-ES,rcp60,2.531502,2.6724788671117228,44.97700000000009,2.7,1.5
8,0.02055441088533331,MIROC5,MPI-ESM-LR,rcp60,2.531502,2.5520564108853336,6.377000000000066,2.7,1.5
9,-0.020247596169550547,MIROC5,inmcm4,rcp60,2.531502,2.5112544038304496,-6.222999999999956,2.7,1.5
10,-0.30115124481389755,MIROC5,MRI-ESM1,rcp60,2.531502,2.2303507551861026,-86.82299999999998,2.7,1.5
